DATE,CPALTT01USM657N
01/05/1979,1.274787535
01/06/1979,1.118881119
01/07/1979,1.106500692
01/08/1979,0.957592339
01/09/1979,1.08401084
01/10/1979,0.804289544
01/11/1979,0.930851064
01/12/1979,1.054018445
01/01/1980,1.434159061
01/02/1980,1.413881748
01/03/1980,1.520912548
01/04/1980,1.123595506
01/05/1980,0.987654321
01/06/1980,1.100244499
01/07/1980,0
01/08/1980,0.725513906
01/09/1980,0.840336134
01/10/1980,0.952380952
01/11/1980,0.825471698
01/12/1980,0.935672515
01/01/1981,0.811123986
01/02/1981,1.034482759
01/03/1981,0.682593857
01/04/1981,0.677966102
01/05/1981,0.785634119
01/06/1981,0.890868597
01/07/1981,1.103752759
01/08/1981,0.76419214
01/09/1981,0.975081257
01/10/1981,0.214592275
01/11/1981,0.321199143
01/12/1981,0.320170758
01/01/1982,0.319148936
01/02/1982,0.318133616
01/03/1982,-0.105708245
01/04/1982,0.423280423
01/05/1982,0.948366702
01/06/1982,1.252609603
01/07/1982,0.515463918
01/08/1982,0.205128205
01/09/1982,0.204708291
01/10/1982,0.306435138
01/11/1982,-0.203665988
01/12/1982,-0.408163265
01/01/1983,0.204918033
01/02/1983,0.102249489
01/03/1983,0
01/04/1983,0.715015322
01/05/1983,0.60851927
01/06/1983,0.302419355
01/07/1983,0.40201005
01/08/1983,0.3003003
01/09/1983,0.499001996
01/10/1983,0.297914598
01/11/1983,0.198019802
01/12/1983,0.098814229
01/01/1984,0.592300099
01/02/1984,0.490677134
01/03/1984,0.1953125
01/04/1984,0.487329435
01/05/1984,0.290979631
01/06/1984,0.290135397
01/07/1984,0.385728062
01/08/1984,0.384245917
01/09/1984,0.4784689
01/10/1984,0.285714286
01/11/1984,0
01/12/1984,0
01/01/1985,0.189933523
01/02/1985,0.473933649
01/03/1985,0.377358491
01/04/1985,0.469924812
01/05/1985,0.374181478
01/06/1985,0.279589935
01/07/1985,0.185873606
01/08/1985,0.185528757
01/09/1985,0.277777778
01/10/1985,0.369344414
01/11/1985,0.27598896
01/12/1985,0.275229358
01/01/1986,0.274473925
01/02/1986,-0.273722628
01/03/1986,-0.457456542
01/04/1986,-0.183823529
01/05/1986,0.276243094
01/06/1986,0.550964187
01/07/1986,0
01/08/1986,0.182648402
01/09/1986,0.455788514
01/10/1986,0.090744102
01/11/1986,0.090661831
01/12/1986,0.09057971
01/01/1987,0.633484163
01/02/1987,0.35971223
01/03/1987,0.448028674
01/04/1987,0.535236396
01/05/1987,0.354924579
01/06/1987,0.353669319
01/07/1987,0.264317181
01/08/1987,0.527240773
01/09/1987,0.524475524
01/10/1987,0.260869565
01/11/1987,0.086730269
01/12/1987,0
01/01/1988,0.259965338
01/02/1988,0.259291271
01/03/1988,0.431034483
01/04/1988,0.515021459
01/05/1988,0.341588386
01/06/1988,0.425531915
01/07/1988,0.423728814
01/08/1988,0.421940928
01/09/1988,0.672268908
01/10/1988,0.333889816
01/11/1988,0.083194676
01/12/1988,0.166251039
01/01/1989,0.497925311
01/02/1989,0.412881916
01/03/1989,0.575657895
01/04/1989,0.654129191
01/05/1989,0.568643379
01/06/1989,0.242326333
01/07/1989,0.241740532
01/08/1989,0.160771704
01/09/1989,0.321027287
01/10/1989,0.48
01/11/1989,0.238853503
01/12/1989,0.158856235
01/01/1990,1.030927835
01/02/1990,0.470957614
01/03/1990,0.546875
01/04/1990,0.155400155
01/05/1990,0.232738557
01/06/1990,0.541795666
01/07/1990,0.38491147
01/08/1990,0.920245399
01/09/1990,0.835866261
01/10/1990,0.602863602
01/11/1990,0.224719101
01/12/1990,0
01/01/1991,0.597907324
01/02/1991,0.14858841
01/03/1991,0.148367953
01/04/1991,0.148148148
01/05/1991,0.295857988
01/06/1991,0.294985251
01/07/1991,0.147058824
01/08/1991,0.293685756
01/09/1991,0.439238653
01/10/1991,0.145772595
01/11/1991,0.291120815
01/12/1991,0.07256894
01/01/1992,0.145032632
01/02/1992,0.362056481
01/03/1992,0.505050505
01/04/1992,0.143575018
01/05/1992,0.143369176
01/06/1992,0.357909807
01/07/1992,0.213980029
01/08/1992,0.284697509
01/09/1992,0.283889283
01/10/1992,0.353857042
01/11/1992,0.141043724
01/12/1992,-0.070422535
01/01/1993,0.493305144
01/02/1993,0.350631136
01/03/1993,0.34940601
01/04/1993,0.278551532
01/05/1993,0.138888889
01/06/1993,0.138696255
01/07/1993,0
01/08/1993,0.27700831
01/09/1993,0.20718232
01/10/1993,0.413507926
01/11/1993,0.06863418
01/12/1993,0
01/01/1994,0.274348422
01/02/1994,0.341997264
01/03/1994,0.340831629
01/04/1994,0.135869565
01/05/1994,0.067842605
01/06/1994,0.338983051
01/07/1994,0.27027027
01/08/1994,0.404312668
